# panel_random.tsv -- keyword-independent random disease panel (B_random) for CDRS Stage 2
# generated by scripts/data/build_panel_random.py | PubTator snapshot 2026-07-06
# 30 diseases, 6 balanced categories, volume range 17722-1044559
# selection: canonical @DISEASE_ concept per curated term (word-set match, max count); excludes all method_dev eval keywords
# volume order-stats (0,10,..,100 pct): 17722, 39004, 92126, 120766, 171121, 215581, 241080, 272733, 436458, 550139, 1044559
token	disease_total	category	name
@DISEASE_Phenylketonurias	17722	metabolic	Phenylketonurias
@DISEASE_Anorexia_Nervosa	27429	psychiatric	Anorexia Nervosa
@DISEASE_Gout	36283	metabolic	Gout
@DISEASE_Aortic_Aneurysm_Abdominal	39004	cardiovascular	Aortic Aneurysm Abdominal
@DISEASE_Amyotrophic_Lateral_Sclerosis	71278	neuro	Amyotrophic Lateral Sclerosis
@DISEASE_Hepatitis_C	79253	infectious	Hepatitis C
@DISEASE_Migraine_Disorders	92126	neuro	Migraine Disorders
@DISEASE_Hypothyroidism	99169	metabolic	Hypothyroidism
@DISEASE_Autistic_Disorder	118598	psychiatric	Autistic Disorder
@DISEASE_Depressive_Disorder_Major	120766	psychiatric	Depressive Disorder Major
@DISEASE_Bipolar_Disorder	130847	psychiatric	Bipolar Disorder
@DISEASE_Glioblastoma	142440	oncology	Glioblastoma
@DISEASE_Malaria	171121	infectious	Malaria
@DISEASE_Atrial_Fibrillation	203400	cardiovascular	Atrial Fibrillation
@DISEASE_Osteoporosis	215094	metabolic	Osteoporosis
@DISEASE_Multiple_Sclerosis	215581	neuro	Multiple Sclerosis
@DISEASE_Pancreatic_Neoplasms	215844	oncology	Pancreatic Neoplasms
@DISEASE_Influenza_Human	221182	infectious	Influenza Human
@DISEASE_Ovarian_Neoplasms	241080	oncology	Ovarian Neoplasms
@DISEASE_Schizophrenia	250144	psychiatric	Schizophrenia
@DISEASE_Epilepsy	259746	neuro	Epilepsy
@DISEASE_Tuberculosis	272733	infectious	Tuberculosis
@DISEASE_Prostatic_Neoplasms	313264	oncology	Prostatic Neoplasms
@DISEASE_Parkinson_Disease	337067	neuro	Parkinson Disease
@DISEASE_HIV_Infections	436458	infectious	HIV Infections
@DISEASE_Myocardial_Infarction	487660	cardiovascular	Myocardial Infarction
@DISEASE_Colorectal_Neoplasms	503048	oncology	Colorectal Neoplasms
@DISEASE_Heart_Failure	550139	cardiovascular	Heart Failure
@DISEASE_Obesity	883158	metabolic	Obesity
@DISEASE_Hypertension	1044559	cardiovascular	Hypertension
